Geography,Gender,AgeGroup,CreditScoreGroup,BalanceSegment,TenureSegment,NumOfProducts,IsActiveMember,Balance,EstimatedSalary,SalarySegment,RiskSegment,RevenueLost,Exited
Germany,Male,46-60,Low,High Balance,Long-term Customer,1,0,128140.17,175753.55,High Salary,High Risk,128140.17,1
France,Male,Under 30,Medium,High Balance,Mid-term Customer,1,1,120383.41,24903.09,Low Salary,Normal,0,0
France,Male,30-45,High,High Balance,Long-term Customer,2,1,129735.3,179565.57,High Salary,Normal,0,0
Spain,Female,30-45,Medium,High Balance,Long-term Customer,1,0,185078.26,115337.74,High Salary,High Risk,185078.26,1
France,Male,Under 30,Low,High Balance,New Customer,1,1,144591.96,196293.76,High Salary,Normal,0,0
Germany,Male,60+,Medium,High Balance,New Customer,1,1,100194.44,38596.34,Low Salary,Normal,0,0
Germany,Male,46-60,Medium,High Balance,Mid-term Customer,2,1,145295.31,27814.74,Low Salary,Normal,0,0
Germany,Male,Under 30,High,High Balance,New Customer,2,1,106070.29,183893.31,High Salary,Normal,0,0
Germany,Female,46-60,High,High Balance,Mid-term Customer,1,1,120621.89,140803.7,High Salary,Normal,0,0
Germany,Female,Under 30,Medium,High Balance,Long-term Customer,1,1,171283.91,84136.12,Medium Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,New Customer,1,0,128218.47,125953.83,High Salary,High Risk,128218.47,1
Germany,Male,Under 30,High,Low Balance,Mid-term Customer,1,0,77776.39,177737.07,High Salary,Normal,0,0
Germany,Female,60+,Medium,High Balance,Mid-term Customer,2,1,124978.19,7144.46,Low Salary,Normal,0,0
Spain,Male,46-60,High,High Balance,New Customer,2,1,109799.55,12457.76,Low Salary,Normal,109799.55,1
Germany,Female,60+,High,High Balance,Long-term Customer,1,0,125397.21,182184.09,High Salary,High Risk,125397.21,1
Germany,Male,30-45,High,High Balance,Long-term Customer,2,1,111347.37,194872.97,High Salary,Normal,0,0
Spain,Male,30-45,High,High Balance,Long-term Customer,2,1,104291.41,117507.11,High Salary,Normal,0,0
Germany,Female,60+,High,Low Balance,Long-term Customer,2,1,94867.18,157527.6,High Salary,Normal,94867.18,1
France,Female,30-45,Medium,High Balance,Mid-term Customer,2,0,135703.59,74850.84,Medium Salary,High Risk,0,0
Germany,Female,30-45,High,High Balance,Mid-term Customer,2,1,106453.53,127413,High Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,132412.38,69584.3,Medium Salary,High Risk,132412.38,1
Germany,Female,30-45,Medium,High Balance,Long-term Customer,1,0,124401.6,198814.24,High Salary,High Risk,124401.6,1
France,Male,46-60,High,High Balance,Mid-term Customer,3,0,118022.06,162643.15,High Salary,High Risk,118022.06,1
Germany,Male,30-45,Medium,Low Balance,New Customer,1,0,82531.11,114092.52,High Salary,Normal,0,0
Spain,Male,30-45,High,High Balance,New Customer,1,0,184552.12,68860.3,Medium Salary,High Risk,184552.12,1
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,127278.31,16150.34,Low Salary,Normal,0,0
Germany,Male,Under 30,Medium,High Balance,Mid-term Customer,1,0,184244.86,103099.22,High Salary,High Risk,0,0
France,Male,46-60,Medium,Low Balance,Long-term Customer,1,0,59669.43,172495.81,High Salary,Normal,59669.43,1
France,Female,Under 30,Medium,Low Balance,Mid-term Customer,1,1,79543.59,38772.82,Low Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,Mid-term Customer,1,1,151553.19,44946.29,Low Salary,Normal,0,0
Germany,Male,Under 30,Medium,High Balance,New Customer,2,1,166527.88,146007.7,High Salary,Normal,0,0
Germany,Male,Under 30,Medium,High Balance,Mid-term Customer,1,0,150329.15,145558.42,High Salary,High Risk,0,0
France,Male,30-45,High,High Balance,Long-term Customer,1,0,121911.59,193312.33,High Salary,High Risk,0,0
France,Male,46-60,High,High Balance,Long-term Customer,2,0,156773.78,40257.79,Low Salary,High Risk,0,0
Spain,Male,Under 30,Low,High Balance,Long-term Customer,1,1,127864.26,46677.9,Low Salary,Normal,0,0
France,Male,46-60,High,High Balance,Mid-term Customer,1,1,113709.28,153887.93,High Salary,Normal,113709.28,1
Germany,Female,30-45,High,Low Balance,Mid-term Customer,1,1,79974.55,103108.33,High Salary,Normal,0,0
France,Male,30-45,High,High Balance,New Customer,2,0,144427.96,113845.19,High Salary,High Risk,0,0
France,Male,30-45,Medium,Low Balance,Mid-term Customer,1,1,99263.09,67607.9,Medium Salary,Normal,0,0
France,Female,30-45,Medium,Low Balance,New Customer,2,1,79368.87,145471.94,High Salary,Normal,0,0
France,Female,46-60,High,High Balance,Mid-term Customer,1,0,125095.94,171189.83,High Salary,High Risk,125095.94,1
Germany,Female,30-45,High,High Balance,New Customer,2,0,162485.8,149381.32,High Salary,High Risk,0,0
Germany,Male,30-45,Medium,Low Balance,New Customer,2,0,95668.82,100335.55,High Salary,Normal,0,0
France,Female,30-45,High,Low Balance,Mid-term Customer,2,0,74197.38,96875.52,Medium Salary,Normal,0,0
France,Female,30-45,Medium,Low Balance,New Customer,1,1,89688.94,152305.47,High Salary,Normal,0,0
Spain,Female,30-45,High,High Balance,Long-term Customer,2,1,103121.33,49672.01,Low Salary,Normal,0,0
Germany,Female,46-60,Medium,High Balance,Mid-term Customer,1,1,120170.07,50454.8,Medium Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Long-term Customer,2,1,149136.31,16402.11,Low Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,New Customer,1,1,141136.79,67803.83,Medium Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,Mid-term Customer,1,0,152341.55,9241.78,Low Salary,High Risk,0,0
France,Male,30-45,High,High Balance,Mid-term Customer,2,1,120026.98,100601.73,High Salary,Normal,0,0
Spain,Male,30-45,Medium,High Balance,Long-term Customer,1,0,132168.28,98734.15,Medium Salary,High Risk,0,0
Germany,Male,30-45,Medium,Low Balance,Mid-term Customer,2,1,85200.82,160574.09,High Salary,Normal,0,0
Spain,Male,46-60,Medium,Low Balance,New Customer,2,1,84903.33,26015.8,Low Salary,Normal,0,0
France,Male,30-45,High,High Balance,Long-term Customer,1,0,121535.18,40313.47,Low Salary,High Risk,0,0
Spain,Male,30-45,Medium,High Balance,Mid-term Customer,2,1,116662.96,23864.21,Low Salary,Normal,0,0
Germany,Female,46-60,Medium,High Balance,Mid-term Customer,1,1,124829.16,93551.36,Medium Salary,Normal,0,0
Spain,Female,30-45,High,High Balance,New Customer,2,0,155180.56,169415.54,High Salary,High Risk,0,0
Germany,Female,30-45,Medium,High Balance,New Customer,1,1,108262.87,6935.31,Low Salary,Normal,0,0
Germany,Male,30-45,Medium,Low Balance,Mid-term Customer,2,1,99812.88,158357.97,High Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,New Customer,1,1,132164.26,164815.59,High Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Long-term Customer,1,0,103583.05,132127.69,High Salary,High Risk,103583.05,1
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,2,0,142406.43,146637.45,High Salary,High Risk,0,0
Spain,Male,30-45,Medium,Low Balance,Mid-term Customer,2,0,99842.5,90256.06,Medium Salary,Normal,99842.5,1
France,Female,30-45,High,Low Balance,Mid-term Customer,1,1,81042.42,109805.17,High Salary,Normal,0,0
France,Male,46-60,Low,High Balance,Mid-term Customer,1,1,199689.49,24207.86,Low Salary,Normal,199689.49,1
France,Male,30-45,High,High Balance,New Customer,1,0,142645.43,69132.66,Medium Salary,High Risk,0,0
Germany,Female,30-45,Low,High Balance,New Customer,1,0,110219.14,43046.7,Low Salary,High Risk,110219.14,1
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,142072.02,37013.29,Low Salary,High Risk,0,0
Germany,Male,30-45,Medium,High Balance,Long-term Customer,1,0,149564.61,149913.84,High Salary,High Risk,0,0
Germany,Male,30-45,High,High Balance,Long-term Customer,1,1,153366.13,26912.34,Low Salary,Normal,0,0
France,Male,Under 30,High,Low Balance,Mid-term Customer,1,1,76467.16,173511.72,High Salary,Normal,0,0
France,Female,Under 30,High,High Balance,Long-term Customer,1,1,121508.28,146785.44,High Salary,Normal,0,0
Spain,Male,30-45,Medium,Low Balance,Long-term Customer,2,0,73211.12,89587.34,Medium Salary,Normal,73211.12,1
Spain,Male,30-45,Medium,Low Balance,New Customer,2,0,92674.94,3647.57,Low Salary,Normal,0,0
Spain,Male,46-60,Low,Low Balance,New Customer,4,0,96196.24,198874.52,High Salary,Normal,96196.24,1
Germany,Female,30-45,Medium,High Balance,New Customer,1,1,114391.62,53412.54,Medium Salary,Normal,0,0
Germany,Male,30-45,High,Low Balance,Long-term Customer,1,0,80262.66,194867.78,High Salary,Normal,0,0
Spain,Female,30-45,Medium,High Balance,Mid-term Customer,1,0,173331.52,150452.88,High Salary,High Risk,0,0
Spain,Female,30-45,Medium,High Balance,Mid-term Customer,1,1,147285.52,57807.05,Medium Salary,Normal,0,0
Spain,Male,60+,Medium,High Balance,Mid-term Customer,2,1,119785.47,107534.32,High Salary,Normal,0,0
Spain,Female,30-45,Low,High Balance,New Customer,1,0,140137.15,194073.33,High Salary,High Risk,0,0
Germany,Female,46-60,High,High Balance,Mid-term Customer,1,0,107467.56,126233.18,High Salary,High Risk,107467.56,1
Germany,Female,30-45,Medium,Low Balance,Long-term Customer,2,0,98218.04,182354.46,High Salary,Normal,98218.04,1
Germany,Female,30-45,High,High Balance,New Customer,1,1,133607.75,120586.32,High Salary,Normal,0,0
France,Female,30-45,Medium,Low Balance,Long-term Customer,1,1,95139.41,86575.46,Medium Salary,Normal,0,0
Germany,Female,Under 30,High,Low Balance,New Customer,1,0,97331.19,63717.49,Medium Salary,Normal,0,0
Germany,Male,30-45,High,High Balance,New Customer,2,1,139265.63,198745.94,High Salary,Normal,0,0
Spain,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,168094.01,20058.61,Low Salary,High Risk,0,0
Germany,Female,30-45,Medium,High Balance,Mid-term Customer,2,0,131563.88,170638.98,High Salary,High Risk,0,0
Germany,Male,46-60,Medium,High Balance,Mid-term Customer,1,1,107363.29,66799.28,Medium Salary,Normal,0,0
France,Female,30-45,High,Low Balance,New Customer,1,1,94493.03,101866.39,High Salary,Normal,0,0
Germany,Female,Under 30,Medium,High Balance,Long-term Customer,2,0,170214.23,49284,Low Salary,High Risk,0,0
France,Male,46-60,Medium,High Balance,Mid-term Customer,1,0,139781.06,27445.4,Low Salary,High Risk,139781.06,1
Spain,Female,Under 30,Medium,High Balance,Long-term Customer,3,1,148610.41,104502.02,High Salary,Normal,148610.41,1
France,Male,60+,Low,High Balance,New Customer,2,1,170241.7,165407.96,High Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,New Customer,1,1,128306.83,113580.79,High Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,175454,77349.92,Medium Salary,Normal,0,0
France,Female,Under 30,Medium,High Balance,New Customer,2,1,100885.93,38772.65,Low Salary,Normal,0,0
France,Male,60+,Low,Low Balance,Long-term Customer,1,1,93320.8,24489.44,Low Salary,Normal,0,0
Germany,Male,30-45,Medium,Low Balance,Mid-term Customer,2,1,63176.44,14466.08,Low Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,New Customer,1,0,139451.67,63142.12,Medium Salary,High Risk,0,0
France,Female,46-60,Medium,Low Balance,Long-term Customer,1,0,49113.75,41858.43,Low Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,New Customer,3,1,123906.22,127443.82,High Salary,Normal,123906.22,1
Germany,Female,46-60,Low,High Balance,New Customer,1,0,131441.51,37240.11,Low Salary,High Risk,131441.51,1
France,Male,46-60,Medium,High Balance,Mid-term Customer,2,1,136325.48,72549.27,Medium Salary,Normal,136325.48,1
Germany,Female,30-45,Medium,High Balance,Mid-term Customer,2,0,113150.44,176712.59,High Salary,High Risk,113150.44,1
Germany,Female,46-60,Medium,High Balance,Long-term Customer,1,1,102785.16,70323.68,Medium Salary,Normal,0,0
Spain,Male,30-45,Medium,Low Balance,Mid-term Customer,1,0,83264.28,9663.28,Low Salary,Normal,0,0
Germany,Male,30-45,High,Low Balance,Mid-term Customer,2,1,72252.64,142514.66,High Salary,Normal,0,0
Germany,Female,Under 30,Low,High Balance,Mid-term Customer,1,0,148051.52,118623.94,High Salary,High Risk,0,0
France,Female,60+,High,High Balance,Long-term Customer,1,1,138489.66,68400.14,Medium Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,111589.33,170382.99,High Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,New Customer,1,0,122104.79,112946.67,High Salary,High Risk,122104.79,1
Germany,Male,30-45,High,Low Balance,Mid-term Customer,1,1,96106.83,79812.77,Medium Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,115930.87,19862.78,Low Salary,High Risk,0,0
Germany,Female,30-45,Medium,High Balance,Mid-term Customer,2,0,124513.66,158610.89,High Salary,High Risk,0,0
Spain,Male,30-45,Medium,High Balance,Long-term Customer,2,0,100988.39,22247.27,Low Salary,High Risk,0,0
France,Male,30-45,Medium,High Balance,Long-term Customer,1,1,118577.24,31448.52,Low Salary,Normal,0,0
France,Female,30-45,High,High Balance,Long-term Customer,1,1,113311.11,198193.75,High Salary,Normal,0,0
Germany,Male,Under 30,High,High Balance,Mid-term Customer,1,0,124365.42,180197.74,High Salary,High Risk,124365.42,1
France,Male,30-45,Medium,High Balance,New Customer,2,1,147249.29,63023.02,Medium Salary,Normal,0,0
France,Male,30-45,High,High Balance,Mid-term Customer,1,1,103688.19,118971.74,High Salary,Normal,0,0
France,Female,Under 30,Medium,High Balance,New Customer,2,0,138740.24,154700.61,High Salary,High Risk,0,0
Spain,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,111900.14,97577.17,Medium Salary,Normal,0,0
Spain,Female,30-45,High,High Balance,New Customer,1,1,152760.24,48990.5,Low Salary,Normal,0,0
Germany,Male,30-45,High,High Balance,Mid-term Customer,2,1,143966.3,140262.96,High Salary,Normal,143966.3,1
France,Male,46-60,High,High Balance,Long-term Customer,1,0,141556.96,130189.53,High Salary,High Risk,0,0
France,Male,Under 30,Medium,High Balance,Long-term Customer,1,0,162560.32,64129.03,Medium Salary,High Risk,0,0
Germany,Female,Under 30,High,High Balance,Mid-term Customer,1,0,123229.46,181221.09,High Salary,High Risk,0,0
Spain,Male,30-45,Medium,Low Balance,Mid-term Customer,2,1,76665.71,163809.08,High Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Long-term Customer,3,1,140278.99,171457.06,High Salary,Normal,140278.99,1
France,Male,46-60,High,High Balance,New Customer,2,0,115764.32,102950.79,High Salary,High Risk,0,0
Germany,Male,30-45,Low,High Balance,Mid-term Customer,2,0,131142.53,174918.46,High Salary,High Risk,0,0
France,Male,30-45,Medium,Low Balance,Mid-term Customer,1,0,68375.27,193160.25,High Salary,Normal,68375.27,1
Germany,Female,30-45,Medium,High Balance,Mid-term Customer,3,0,117833.3,5831,Low Salary,High Risk,117833.3,1
Spain,Male,30-45,Medium,High Balance,New Customer,1,0,111093.01,68985.99,Medium Salary,High Risk,0,0
Spain,Male,30-45,Medium,High Balance,Long-term Customer,1,0,132657.55,35367.19,Low Salary,High Risk,0,0
France,Female,46-60,Medium,High Balance,Long-term Customer,1,1,128882.49,196241.94,High Salary,Normal,128882.49,1
Germany,Male,46-60,Medium,Low Balance,Long-term Customer,1,1,69129.59,170705.53,High Salary,Normal,0,0
France,Male,30-45,High,High Balance,Mid-term Customer,1,1,121404.64,159618.17,High Salary,Normal,0,0
Spain,Female,30-45,Medium,High Balance,Long-term Customer,3,0,131355.3,195395.33,High Salary,High Risk,131355.3,1
France,Female,30-45,Medium,High Balance,New Customer,1,1,102097.33,168285.85,High Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,New Customer,1,1,154863.15,138052.51,High Salary,Normal,0,0
Spain,Female,30-45,High,Low Balance,New Customer,2,0,99945.93,71179.31,Medium Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,New Customer,2,0,121704.32,55556.3,Medium Salary,High Risk,0,0
Germany,Male,30-45,Medium,High Balance,Long-term Customer,1,1,138782.76,186118.93,High Salary,Normal,0,0
France,Male,30-45,High,High Balance,Long-term Customer,1,0,136291.71,54113.38,Medium Salary,High Risk,0,0
Germany,Male,30-45,Medium,High Balance,New Customer,2,0,107856.57,127528.84,High Salary,High Risk,0,0
Germany,Female,Under 30,Medium,High Balance,New Customer,1,0,108348.66,60231.74,Medium Salary,High Risk,108348.66,1
France,Male,46-60,Medium,Low Balance,New Customer,3,0,93871.95,156878.42,High Salary,Normal,93871.95,1
Germany,Male,Under 30,Low,High Balance,New Customer,1,0,125860.2,129690.5,High Salary,High Risk,0,0
France,Male,46-60,Medium,High Balance,Long-term Customer,1,0,172713.44,113860.81,High Salary,High Risk,0,0
France,Female,30-45,Medium,High Balance,New Customer,1,1,130786.92,121316.07,High Salary,Normal,0,0
France,Female,Under 30,Medium,High Balance,New Customer,1,0,112367.34,185630.76,High Salary,High Risk,0,0
Spain,Female,30-45,High,Low Balance,Mid-term Customer,2,0,91091.06,71133.12,Medium Salary,Normal,0,0
France,Female,Under 30,Medium,High Balance,Mid-term Customer,1,1,106198.5,32020.42,Low Salary,Normal,0,0
France,Male,46-60,High,High Balance,Mid-term Customer,2,0,142669.93,162760.96,High Salary,High Risk,0,0
France,Male,30-45,Medium,High Balance,New Customer,1,1,112833.35,175178.56,High Salary,Normal,0,0
Germany,Female,30-45,High,High Balance,New Customer,2,0,104336.43,59559.81,Medium Salary,High Risk,0,0
France,Male,46-60,Medium,High Balance,Mid-term Customer,1,1,104305.74,175750.21,High Salary,Normal,0,0
Germany,Male,46-60,Medium,High Balance,Mid-term Customer,2,1,140187.1,174311.3,High Salary,Normal,0,0
France,Female,30-45,High,High Balance,New Customer,1,0,114959.12,189362.39,High Salary,High Risk,114959.12,1
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,164704.38,180716.1,High Salary,Normal,164704.38,1
France,Male,60+,High,High Balance,Long-term Customer,1,1,119096.55,116977.89,High Salary,Normal,0,0
France,Female,30-45,High,High Balance,Long-term Customer,1,0,115465.28,103174.5,High Salary,High Risk,0,0
Spain,Male,30-45,Medium,High Balance,New Customer,1,0,184926.61,122937.57,High Salary,High Risk,0,0
Germany,Male,30-45,Medium,Low Balance,Long-term Customer,2,0,85957.88,8757.39,Low Salary,Normal,0,0
France,Male,30-45,High,High Balance,Long-term Customer,1,1,114084.6,125782.29,High Salary,Normal,0,0
Spain,Female,Under 30,Medium,High Balance,New Customer,2,0,166930.76,122487.73,High Salary,High Risk,0,0
France,Female,30-45,Medium,High Balance,Mid-term Customer,2,0,107193.82,38962.94,Low Salary,High Risk,0,0
France,Male,30-45,Medium,High Balance,New Customer,1,1,116275.12,63795.8,Medium Salary,Normal,0,0
France,Male,30-45,Medium,Low Balance,New Customer,1,0,91068.56,26578.69,Low Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,123049.21,5066.76,Low Salary,Normal,0,0
France,Female,30-45,High,High Balance,New Customer,1,0,137781.65,199316.19,High Salary,High Risk,0,0
Germany,Female,46-60,Medium,High Balance,New Customer,2,1,108128.96,103944.37,High Salary,Normal,0,0
Spain,Male,30-45,Medium,High Balance,Long-term Customer,2,0,105317.73,138021.36,High Salary,High Risk,0,0
France,Male,Under 30,Medium,Low Balance,New Customer,1,0,80569.73,68621.98,Medium Salary,Normal,0,0
France,Female,Under 30,Medium,High Balance,Mid-term Customer,1,1,174852.89,28149.06,Low Salary,Normal,0,0
Spain,Female,30-45,Low,Low Balance,New Customer,3,0,89158.94,135169.76,High Salary,Normal,89158.94,1
France,Male,30-45,High,Low Balance,New Customer,1,1,89800.14,105922.69,High Salary,Normal,0,0
Germany,Male,30-45,High,High Balance,Long-term Customer,1,0,101207.75,88211.12,Medium Salary,High Risk,101207.75,1
France,Male,30-45,Medium,High Balance,New Customer,2,0,106086.42,26900.63,Low Salary,High Risk,0,0
Spain,Female,Under 30,High,High Balance,Long-term Customer,2,1,101440.36,19324.5,Low Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,2,1,106603.74,26387.71,Low Salary,Normal,0,0
Germany,Female,Under 30,High,High Balance,Long-term Customer,2,0,130420.2,106276.55,High Salary,High Risk,0,0
Spain,Male,Under 30,Medium,Low Balance,New Customer,1,1,45022.23,173495.77,High Salary,Normal,0,0
Germany,Male,Under 30,Medium,Low Balance,New Customer,1,1,74298.43,52581.96,Medium Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,New Customer,1,1,133003.03,146339.27,High Salary,Normal,133003.03,1
Spain,Female,30-45,High,High Balance,New Customer,1,0,136689.66,197890.65,High Salary,High Risk,0,0
France,Male,46-60,High,High Balance,New Customer,1,1,102520.37,170195.4,High Salary,Normal,0,0
Spain,Male,60+,Medium,Low Balance,New Customer,1,1,88382.01,59457,Medium Salary,Normal,0,0
France,Male,30-45,High,High Balance,Mid-term Customer,2,0,115049.15,165038.41,High Salary,High Risk,0,0
France,Male,46-60,Medium,High Balance,New Customer,1,1,104796.54,154181.41,High Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,New Customer,1,0,123082.08,134960.98,High Salary,High Risk,0,0
Germany,Male,30-45,Medium,Low Balance,New Customer,2,1,88311.48,177651.38,High Salary,Normal,0,0
France,Male,30-45,Medium,Low Balance,Mid-term Customer,1,1,71872.19,151924.9,High Salary,Normal,0,0
Spain,Male,30-45,Medium,High Balance,Mid-term Customer,2,0,110046.93,26318.73,Low Salary,High Risk,0,0
France,Male,30-45,Medium,High Balance,Long-term Customer,1,1,104430.08,147557.71,High Salary,Normal,0,0
Germany,Male,30-45,High,High Balance,Long-term Customer,1,0,138653.51,190803.37,High Salary,High Risk,0,0
France,Female,30-45,Medium,High Balance,Mid-term Customer,1,1,102575.04,11043.54,Low Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,2,1,137780.74,119100.05,High Salary,Normal,137780.74,1
France,Female,30-45,High,High Balance,Long-term Customer,1,0,105209.54,1852.58,Low Salary,High Risk,0,0
Germany,Female,30-45,Medium,High Balance,New Customer,2,1,109570.21,172049.84,High Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,Mid-term Customer,1,0,118715.86,133591.11,High Salary,High Risk,118715.86,1
Germany,Female,30-45,Medium,High Balance,New Customer,2,1,153393.18,193828.27,High Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,132603.36,55775.72,Medium Salary,High Risk,0,0
Germany,Female,30-45,High,High Balance,New Customer,2,0,129398.01,44965.44,Low Salary,High Risk,0,0
France,Male,Under 30,Medium,High Balance,New Customer,1,0,151352.74,197145.89,High Salary,High Risk,0,0
France,Female,30-45,Low,High Balance,Mid-term Customer,1,0,136836.49,192359.9,High Salary,High Risk,136836.49,1
France,Male,30-45,Low,Low Balance,Mid-term Customer,1,0,91592.06,141210.18,High Salary,Normal,91592.06,1
France,Male,30-45,Low,High Balance,New Customer,2,1,165536.28,123956.83,High Salary,Normal,0,0
Germany,Male,Under 30,Medium,Low Balance,Mid-term Customer,1,1,62482.95,102758.43,High Salary,Normal,0,0
France,Male,30-45,High,Low Balance,Long-term Customer,1,0,68155.59,94876.65,Medium Salary,Normal,0,0
Spain,Female,30-45,High,Low Balance,New Customer,2,1,55853.33,94811.85,Medium Salary,Normal,55853.33,1
France,Female,30-45,Medium,Low Balance,New Customer,1,0,79589.43,4050.57,Low Salary,Normal,0,0
Spain,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,100880.76,134665.25,High Salary,Normal,0,0
Germany,Female,Under 30,Low,High Balance,New Customer,2,0,174330.35,181647.13,High Salary,High Risk,0,0
France,Male,Under 30,High,High Balance,Mid-term Customer,1,0,143390.51,33282.84,Low Salary,High Risk,0,0
Germany,Male,46-60,Medium,Low Balance,Long-term Customer,1,0,91415.76,27965,Low Salary,Normal,91415.76,1
Germany,Male,30-45,Low,High Balance,New Customer,1,0,134366.42,68343.53,Medium Salary,High Risk,0,0
Spain,Male,46-60,Medium,Low Balance,Long-term Customer,1,1,88786.81,196858.4,High Salary,Normal,0,0
Germany,Male,30-45,High,Low Balance,New Customer,2,1,96814.46,120511.03,High Salary,Normal,0,0
Germany,Male,30-45,High,High Balance,Long-term Customer,1,0,160680.41,30886.35,Low Salary,High Risk,0,0
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,145537.21,132404.64,High Salary,High Risk,0,0
Spain,Female,30-45,Medium,High Balance,New Customer,1,1,119370.11,182726.22,High Salary,Normal,119370.11,1
Germany,Female,46-60,High,High Balance,Long-term Customer,1,0,134381.52,26812.89,Low Salary,High Risk,134381.52,1
Germany,Female,60+,Medium,High Balance,Long-term Customer,2,1,114888.74,66732.63,Medium Salary,Normal,114888.74,1
Germany,Male,30-45,Medium,High Balance,New Customer,2,0,149332.48,100834.22,High Salary,High Risk,0,0
France,Female,30-45,Medium,High Balance,Mid-term Customer,3,0,105061.74,107815.31,High Salary,High Risk,105061.74,1
France,Female,30-45,High,High Balance,Mid-term Customer,1,1,155062.8,16460.77,Low Salary,Normal,0,0
Spain,Male,30-45,High,Low Balance,New Customer,1,0,88798.34,45610.63,Low Salary,Normal,0,0
Germany,Female,46-60,Medium,High Balance,Mid-term Customer,1,0,143139.87,47795.43,Low Salary,High Risk,143139.87,1
Germany,Male,Under 30,Medium,High Balance,New Customer,1,0,107027.52,173425.68,High Salary,High Risk,0,0
France,Male,Under 30,Medium,High Balance,Mid-term Customer,1,0,140720.93,36221.18,Low Salary,High Risk,0,0
France,Male,30-45,Medium,Low Balance,Long-term Customer,2,0,80964.57,174738.2,High Salary,Normal,0,0
France,Male,30-45,High,High Balance,Mid-term Customer,1,0,178585.46,67131.3,Medium Salary,High Risk,178585.46,1
Spain,Female,Under 30,High,High Balance,Mid-term Customer,1,1,135889.13,165692.03,High Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,134919.85,194691.95,High Salary,High Risk,0,0
Germany,Male,30-45,High,High Balance,Long-term Customer,1,0,115130.34,129525.5,High Salary,High Risk,115130.34,1
Spain,Female,30-45,High,High Balance,Mid-term Customer,2,1,138190.13,146511.2,High Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Long-term Customer,2,1,131519.49,51752.18,Medium Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,New Customer,2,1,126935.98,57995.74,Medium Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,133707.09,108152.75,High Salary,Normal,0,0
France,Female,Under 30,Medium,Low Balance,New Customer,1,0,97893.2,166144.98,High Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,127900.03,101737.8,High Salary,High Risk,0,0
France,Male,30-45,Medium,High Balance,Long-term Customer,1,1,143835.47,33326.71,Low Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,New Customer,1,1,129596.77,103232.6,High Salary,Normal,0,0
Germany,Female,Under 30,High,High Balance,New Customer,2,0,110407.44,15832.43,Low Salary,High Risk,110407.44,1
Germany,Female,30-45,Medium,High Balance,Long-term Customer,2,0,142015.76,114323.66,High Salary,High Risk,0,0
Spain,Male,46-60,Medium,Low Balance,New Customer,1,1,81370.07,181534.04,High Salary,Normal,0,0
Germany,Female,46-60,Low,Low Balance,New Customer,1,0,69329.47,102640.52,High Salary,Normal,69329.47,1
France,Female,Under 30,Medium,High Balance,Long-term Customer,2,1,116755.5,158585.17,High Salary,Normal,116755.5,1
Spain,Male,30-45,High,Low Balance,Mid-term Customer,1,0,83870.33,178722.24,High Salary,Normal,0,0
